fiscal_quarter_end,fiscal_year,fiscal_quarter,revenue_musd,gross_profit_musd,gross_margin_pct,eps_diluted_usd,period_label
2021-02-28,2021,2,6236.0,1649.0,26.44,0.53,pre_shortage
2021-05-31,2021,3,7422.0,3126.0,42.12,1.52,pre_shortage
2021-08-31,2021,4,8274.0,3912.0,47.28,2.38,pre_shortage
2021-11-30,2022,1,7687.0,3565.0,46.38,2.04,pre_shortage
2022-02-28,2022,2,7786.0,3676.0,47.21,2.0,pre_shortage
2022-05-31,2022,3,8642.0,4035.0,46.69,2.34,pre_shortage
2022-08-31,2022,4,6643.0,2622.0,39.47,1.37,pre_shortage
2022-11-30,2023,1,4085.0,893.0,21.86,-0.18,pre_shortage
2023-02-28,2023,2,3693.0,-1206.0,-32.66,-2.12,pre_shortage
2023-05-31,2023,3,3752.0,-668.0,-17.8,-1.73,pre_shortage
2023-08-31,2023,4,4010.0,-435.0,-10.85,-1.31,pre_shortage
2023-11-30,2024,1,4726.0,-35.0,-0.74,-1.12,pre_shortage
2024-02-29,2024,2,5824.0,1079.0,18.53,0.71,pre_shortage
2024-05-31,2024,3,6811.0,1832.0,26.9,0.3,pre_shortage
2024-08-31,2024,4,7750.0,2737.0,35.32,0.81,pre_shortage
2024-11-30,2025,1,8709.0,3348.0,38.44,1.67,pre_shortage
2025-02-28,2025,2,8053.0,2963.0,36.79,1.41,pre_shortage
2025-05-31,2025,3,9301.0,3508.0,37.72,1.68,pre_shortage
2025-08-31,2025,4,11315.0,5054.0,44.67,2.83,shortage_era
2025-11-30,2026,1,13643.0,7646.0,56.04,4.6,shortage_era
2026-02-28,2026,2,23860.0,17755.0,74.41,12.07,shortage_era
2026-05-31,2026,3,41460.0,35056.0,84.55,24.67,shortage_era
